Time (msec),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Additive Adaptation - Bank 1 (ms),* Battery voltage (V),* Coolant Temperature (°C),* Engine Load (mg/stroke),* Electric fan (%),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Intake Air Temperature (°C),* Oil Temperature (°C),* Vehicle Speed (km/h)
32602,5.55,6.77,0.00,0.00,0.00,0.00,13.3,100.5,217.90,0,1281,6.584,54.8,107.2,21
32761,5.55,6.96,0.00,0.00,0.00,0.00,13.5,100.5,220.10,0,1287,6.712,54.8,107.2,21
32961,5.55,6.96,0.00,0.00,0.00,0.00,13.4,100.5,218.41,0,1278,6.832,54.8,107.2,21
33121,5.55,6.96,0.00,0.00,0.00,0.00,13.3,100.5,217.60,0,1270,6.840,55.5,107.2,21
33281,2.76,6.96,0.00,0.00,0.00,0.00,13.2,100.5,217.35,0,1265,6.672,55.5,107.2,21
33441,3.69,4.65,0.00,0.00,0.00,0.00,13.4,100.5,211.94,0,1258,6.572,55.5,107.2,21
33602,4.72,3.62,0.00,0.00,0.00,0.00,13.5,100.5,207.58,0,1271,6.316,55.5,107.2,20
33801,5.90,5.30,0.00,0.00,0.00,0.00,13.3,100.5,77.64,0,1234,4.360,55.5,107.2,20
33961,5.90,5.30,0.00,0.00,0.00,0.00,13.3,100.5,62.04,0,1231,3.584,55.5,107.2,20
34121,0.00,0.00,0.00,0.00,0.00,0.00,13.4,100.5,65.24,0,1128,2.992,55.5,107.2,20
34322,0.00,0.00,0.00,0.00,0.00,0.00,12.9,100.5,110.29,0,919,3.068,55.5,107.2,20
34521,0.00,0.00,0.00,0.00,0.00,0.00,12.9,100.5,96.35,0,980,3.176,55.5,107.2,19
34681,0.00,0.00,0.00,0.00,0.00,0.00,13.0,100.5,82.70,0,1041,2.932,55.5,107.2,19
34841,0.00,0.00,0.00,0.00,0.00,0.00,13.2,100.5,59.84,0,1044,2.612,55.5,107.2,19
35000,-2.19,-2.29,0.00,0.00,0.00,0.00,13.1,100.5,59.52,0,1003,2.372,55.5,107.2,19
35161,-2.54,-2.63,0.00,0.00,0.00,0.00,12.9,99.8,74.12,0,918,2.252,55.5,107.2,19
35322,-2.83,-2.92,0.00,0.00,0.00,0.00,12.9,99.8,92.01,0,830,2.184,55.5,107.2,19
35522,-1.47,-1.39,0.00,0.00,0.00,0.00,12.8,99.8,111.93,0,732,2.416,55.5,107.2,16
35681,-1.25,-1.17,0.00,0.00,0.00,0.00,12.6,99.8,113.73,0,696,2.648,55.5,107.2,16
35842,-1.01,-0.94,0.00,0.00,0.00,0.00,12.5,99.8,105.74,0,696,2.776,55.5,107.2,16
36002,-0.72,-0.65,0.00,0.00,0.00,0.00,12.6,99.8,104.09,0,707,2.892,55.5,107.2,16
36201,-0.35,-0.28,0.00,0.00,0.00,0.00,12.7,99.8,103.85,0,722,2.944,55.5,107.2,16
36361,-0.06,0.01,0.00,0.00,0.00,0.00,12.6,99.8,104.76,0,729,2.964,55.5,107.2,16
36562,0.30,0.38,0.00,0.00,0.00,0.00,12.6,99.8,99.59,0,739,2.992,55.5,107.2,15
36761,0.67,0.74,0.00,0.00,0.00,0.00,12.7,99.8,99.72,0,752,2.960,55.5,107.2,15
